candidate_id,rank,score,reasoning
CAND_0018499,1,0.9900,Senior Machine Learning Engineer with 7.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.61
CAND_0091909,2,0.9860,Machine Learning Engineer with 6.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.65
CAND_0046064,3,0.9820,Senior NLP Engineer with 8.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.78
CAND_0046525,4,0.9780,Senior Machine Learning Engineer with 6.1 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.88
CAND_0078002,5,0.9740,Machine Learning Engineer with 6.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.86
CAND_0006418,6,0.9700,Machine Learning Engineer with 5.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.92
CAND_0068811,7,0.9660,Applied ML Engineer with 8.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.42
CAND_0042029,8,0.9620,Senior Data Scientist with 6.5 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.67
CAND_0077337,9,0.9580,Staff Machine Learning Engineer with 7.0 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.95
CAND_0083879,10,0.9540,Machine Learning Engineer with 7.1 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.47
CAND_0081846,11,0.9500,Lead AI Engineer with 6.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.73
CAND_0045250,12,0.9460,Applied ML Engineer with 6.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.74
CAND_0064904,13,0.9420,AI Engineer with 4.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.78; notice period concern: 90 days
CAND_0064326,14,0.9380,Search Engineer with 7.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.94
CAND_0005649,15,0.9340,Senior Data Scientist with 7.4 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.57; notice period concern: 90 days
CAND_0081053,16,0.9300,NLP Engineer with 5.4 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.83; notice period concern: 90 days
CAND_0002025,17,0.9260,Senior AI Engineer with 5.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.80
CAND_0081852,18,0.9220,Senior Data Scientist with 5.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.44
CAND_0011687,19,0.9180,Senior NLP Engineer with 7.8 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.89
CAND_0039383,20,0.9140,Applied ML Engineer with 7.1 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.61; notice period concern: 90 days
CAND_0054123,21,0.9100,Applied ML Engineer with 4.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.87
CAND_0042506,22,0.9060,Search Engineer with 4.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; product/user-facing system background; active behavioral signals; response rate 0.48
CAND_0094759,23,0.9020,Lead AI Engineer with 8.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background
CAND_0093912,24,0.8980,Senior Data Scientist with 5.3 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.66
CAND_0027691,25,0.8940,NLP Engineer with 6.5 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.68
CAND_0011432,26,0.8900,Senior Data Scientist with 7.6 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.67
CAND_0092255,27,0.8860,ML Engineer with 5.2 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.38
CAND_0065195,28,0.8820,Search Engineer with 5.1 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.80
CAND_0010257,29,0.8780,Senior Data Scientist with 6.5 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.72; notice period concern: 120 days
CAND_0075574,30,0.8740,Machine Learning Engineer with 5.7 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.58
CAND_0079387,31,0.8700,AI Engineer with 6.9 yrs; strong retrieval/ranking/vector-search evidence; production shipping signals; matches 5-9 yr seniority band; product/user-facing system background; active behavioral signals; response rate 0.81
